Bias,Excitation
1.646,0.09364
1.645,0.093211
1.644,0.093376
1.643,0.093816
1.642,0.093447
1.641,0.093003
1.64,0.093403
1.639,0.092818
1.638,0.093747
1.637,0.094025
1.636,0.093504
1.635,0.09356
1.634,0.093009
1.633,0.094316
1.632,0.093827
1.631,0.093371
1.63,0.093196
1.629,0.093925
1.628,0.093511
1.627,0.093445
1.626,0.092749
1.625,0.092896
1.624,0.094244
1.623,0.09359
1.622,0.093796
1.621,0.093613
1.62,0.092221
1.619,0.093545
1.618,0.092518
1.617,0.093603
1.616,0.093158
1.615,0.093245
1.614,0.092999
1.613,0.092547
1.612,0.093554
1.611,0.092942
1.61,0.0933
1.609,0.093664
1.608,0.093219
1.607,0.09306
1.606,0.093397
1.605,0.093488
1.604,0.093859
1.603,0.093147
1.602,0.093057
1.601,0.093149
1.6,0.093625
1.599,0.092914
1.598,0.093774
1.597,0.092917
1.596,0.092389
1.595,0.093296
1.594,0.094037
1.593,0.093711
1.592,0.093164
1.591,0.09367
1.59,0.092948
1.589,0.093778
1.588,0.092489
1.587,0.093213
1.586,0.092744
1.585,0.093545
1.584,0.093395
1.583,0.093091
1.582,0.09335
1.581,0.09325
1.58,0.093218
1.579,0.093558
1.578,0.093202
1.577,0.092953
1.576,0.093172
1.575,0.093424
1.574,0.094012
1.573,0.093175
1.572,0.094002
1.571,0.093894
1.57,0.093506
1.569,0.093726
1.568,0.09377
1.567,0.092933
1.566,0.093463
1.565,0.092568
1.564,0.092956
1.563,0.093477
1.562,0.093119
1.561,0.093316
1.56,0.092724
1.559,0.093925
1.558,0.093668
1.557,0.092578
1.556,0.093878
1.555,0.093321
1.554,0.093199
1.553,0.093344
1.552,0.093245
1.551,0.093905
1.55,0.093195
1.549,0.093296
1.548,0.093325
1.547,0.09326
1.546,0.092509
1.545,0.093002
1.544,0.093511
1.543,0.092484
1.542,0.093677
1.541,0.093016
1.54,0.092918
1.539,0.094051
1.538,0.092253
1.537,0.092499
1.536,0.093079
1.535,0.092588
1.534,0.093188
1.533,0.093519
1.532,0.092525
1.531,0.092707
1.53,0.092727
1.529,0.093564
1.528,0.093409
1.527,0.092947
1.526,0.092802
1.525,0.092823
1.524,0.09385
1.523,0.093106
1.522,0.092773
1.521,0.092964
1.52,0.092949
1.519,0.092774
1.518,0.092551
1.517,0.093505
1.516,0.093086
1.515,0.093982
1.514,0.093168
1.513,0.093067
1.512,0.092683
1.511,0.093499
1.51,0.092779
1.509,0.093025
1.508,0.093666
1.507,0.093345
1.506,0.093247
1.505,0.092866
1.504,0.093269
1.503,0.093023
1.502,0.093284
1.501,0.092981
1.5,0.093367
1.499,0.093496
1.498,0.093165
1.497,0.093492
1.496,0.093046
1.495,0.093682
1.494,0.093829
1.493,0.092314
1.492,0.092675
1.491,0.093253
1.49,0.092726
1.489,0.092966
1.488,0.092352
1.487,0.092035
1.486,0.092951
1.485,0.093026
1.484,0.094257
1.483,0.092962
1.482,0.093425
1.481,0.093084
1.48,0.093266
1.479,0.093045
1.478,0.092298
1.477,0.092949
1.476,0.093018
1.475,0.093849
1.474,0.092579
1.473,0.092543
1.472,0.092871
1.471,0.092206
1.47,0.092639
1.469,0.093855
1.468,0.093161
1.467,0.093195
1.466,0.092522
1.465,0.093339
1.464,0.092619
1.463,0.093133
1.462,0.092888
1.461,0.092981
1.46,0.093614
1.459,0.093474
1.458,0.092603
1.457,0.092976
1.456,0.092964
1.455,0.093011
1.454,0.092574
1.453,0.092092
1.452,0.091617
1.451,0.09234
1.45,0.092725
1.449,0.093062
1.448,0.092039
1.447,0.093536
1.446,0.092605
1.445,0.09312
1.444,0.093307
1.443,0.091912
1.442,0.092155
1.441,0.093097
1.44,0.09296
1.439,0.093156
1.438,0.0928
1.437,0.092766
1.436,0.093471
1.435,0.092999
1.434,0.09296
1.433,0.092884
1.432,0.09208
1.431,0.092424
1.43,0.093006
1.429,0.093792
1.428,0.092588
1.427,0.092852
1.426,0.093444
1.425,0.093478
1.424,0.093365
1.423,0.093624
1.422,0.092878
1.421,0.092791
1.42,0.09342
1.419,0.092729
1.418,0.092032
1.417,0.092388
1.416,0.092615
1.415,0.092326
1.414,0.092649
1.413,0.092531
1.412,0.092542
1.411,0.092649
1.41,0.092392
1.409,0.093022
1.408,0.09246
1.407,0.092536
1.406,0.092419
1.405,0.093388
1.404,0.092818
1.403,0.092523
1.402,0.093782
1.401,0.092968
1.4,0.093352
1.399,0.092767
1.398,0.092234
1.397,0.092884
1.396,0.09321
1.395,0.092569
1.394,0.092606
1.393,0.092353
1.392,0.092448
1.391,0.092296
1.39,0.092424
1.389,0.09306
1.388,0.092065
1.387,0.092042
1.386,0.094104
1.385,0.092444
1.384,0.092395
1.383,0.09221
1.382,0.091997
1.381,0.092836
1.38,0.092414
1.379,0.092371
1.378,0.092194
1.377,0.093505
1.376,0.092347
1.375,0.093003
1.374,0.092346
1.373,0.092777
1.372,0.092982
1.371,0.092957
1.37,0.092905
1.369,0.092737
1.368,0.092957
1.367,0.092683
1.366,0.093528
1.365,0.092708
1.364,0.092925
1.363,0.092779
1.362,0.092345
1.361,0.092304
1.36,0.092573
1.359,0.092727
1.358,0.092011
1.357,0.093111
1.356,0.093771
1.355,0.091854
1.354,0.092179
1.353,0.091321
1.352,0.091418
1.351,0.092904
1.35,0.092221
1.349,0.091631
1.348,0.092437
1.347,0.092499
1.346,0.093507
1.345,0.092909
1.344,0.092951
1.343,0.091788
1.342,0.092549
1.341,0.092727
1.34,0.092591
1.339,0.09304
1.338,0.093124
1.337,0.092205
1.336,0.092591
1.335,0.092278
1.334,0.092334
1.333,0.092277
1.332,0.092943
1.331,0.092289
1.33,0.092581
1.329,0.092688
1.328,0.092153
1.327,0.092586
1.326,0.092667
1.325,0.093131
1.324,0.09227
1.323,0.092503
1.322,0.092419
1.321,0.092651
1.32,0.092421
1.319,0.092539
1.318,0.092283
1.317,0.092282
1.316,0.09368
1.315,0.092866
1.314,0.092417
1.313,0.092121
1.312,0.093003
1.311,0.09278
1.31,0.092522
1.309,0.093644
1.308,0.092273
1.307,0.092905
1.306,0.092828
1.305,0.093222
1.304,0.091841
1.303,0.091585
1.302,0.093027
1.301,0.092633
1.3,0.092398
1.299,0.092729
1.298,0.092378
1.297,0.09276
1.296,0.093043
1.295,0.092437
1.294,0.092675
1.293,0.091168
1.292,0.093005
1.291,0.09207
1.29,0.092296
1.289,0.092494
1.288,0.091965
1.287,0.092179
1.286,0.093159
1.285,0.092056
1.284,0.092488
1.283,0.091901
1.282,0.092499
1.281,0.092935
1.28,0.091865
1.279,0.092206
1.278,0.092149
1.277,0.092831
1.276,0.092984
1.275,0.091792
1.274,0.092611
1.273,0.092225
1.272,0.092727
1.271,0.092343
1.27,0.092267
1.269,0.092135
1.268,0.092768
1.267,0.091792
1.266,0.092922
1.265,0.092133
1.264,0.092423
1.263,0.09231
1.262,0.091652
1.261,0.092348
1.26,0.092783
1.259,0.091911
1.258,0.092397
1.257,0.092182
1.256,0.093245
1.255,0.092551
1.254,0.091658
1.253,0.092577
1.252,0.092076
1.251,0.092663
1.25,0.092546
1.249,0.091675
1.248,0.092458
1.247,0.092267
1.246,0.092657
1.245,0.092905
1.244,0.092487
1.243,0.092439
1.242,0.091696
1.241,0.091982
1.24,0.092098
1.239,0.091737
1.238,0.09248
1.237,0.091521
1.236,0.092447
1.235,0.091905
1.234,0.092095
1.233,0.092153
1.232,0.092405
1.231,0.093104
1.23,0.092072
1.229,0.092397
1.228,0.091849
1.227,0.09244
1.226,0.092684
1.225,0.091981
1.224,0.092392
1.223,0.091942
1.222,0.092008
1.221,0.092846
1.22,0.091849
1.219,0.092586
1.218,0.092103
1.217,0.09244
1.216,0.092788
1.215,0.091915
1.214,0.091569
1.213,0.092568
1.212,0.091863
1.211,0.092886
1.21,0.092416
1.209,0.092369
1.208,0.091227
1.207,0.092064
1.206,0.092071
1.205,0.091782
1.204,0.092252
1.203,0.091399
1.202,0.092479
1.201,0.092252
1.2,0.092695
1.199,0.092401
1.198,0.09173
1.197,0.0914
1.196,0.092459
1.195,0.092425
1.194,0.09257
1.193,0.091152
1.192,0.092108
1.191,0.091642
1.19,0.091794
1.189,0.091576
1.188,0.092283
1.187,0.09156
1.186,0.092184
1.185,0.092173
1.184,0.09181
1.183,0.091948
1.182,0.091654
1.181,0.091787
1.18,0.092035
1.179,0.092073
1.178,0.092145
1.177,0.092417
1.176,0.092826
1.175,0.092148
1.174,0.091414
1.173,0.091672
1.172,0.092596
1.171,0.093023
1.17,0.092593
1.169,0.091884
1.168,0.091985
1.167,0.090947
1.166,0.092245
1.165,0.092889
1.164,0.09266
1.163,0.091918
1.162,0.092029
1.161,0.092581
1.16,0.093028
1.159,0.092575
1.158,0.092433
1.157,0.092807
1.156,0.092869
1.155,0.092064
1.154,0.091895
1.153,0.092303
1.152,0.092167
1.151,0.092484
1.15,0.092052
1.149,0.091804
1.148,0.091991
1.147,0.091797
1.146,0.092439
1.145,0.092311
1.144,0.092392
1.143,0.091537
1.142,0.091355
1.141,0.092085
1.14,0.092638
1.139,0.091657
1.138,0.091967
1.137,0.091461
1.136,0.092541
1.135,0.092182
1.134,0.091464
1.133,0.092273
1.132,0.092181
1.131,0.092654
1.13,0.092451
1.129,0.091495
1.128,0.092322
1.127,0.092441
1.126,0.092204
1.125,0.092643
1.124,0.09195
1.123,0.091783
1.122,0.091644
