time_timearray,zins_timearray,Vs_timearray,F_timearray
0.0,11.2,-0.1783834869458208,-9.099090514492688e-14
0.03157379551346526,11.389411298588863,-0.17411047444587222,-8.844506594557348e-14
0.06314759102693052,11.578633787876042,-0.17000752898024,-8.600103191245038e-14
0.09472138654039577,11.76747884676907,-0.16606990188362958,-8.365599009389933e-14
0.12629518205386103,11.955758230406305,-0.16229275675655486,-8.140707355150055e-14
0.1578689775673263,12.143284257803503,-0.1586712081001438,-7.925138386806606e-14
0.18944277308079155,12.329869998938307,-0.1552003553796737,-7.718601100165693e-14
0.2210165685942568,12.515329461086147,-0.15187531283032368,-7.520805067293772e-14
0.25259036410772207,12.699477774221847,-0.1486912353224179,-7.331461947562965e-14
0.28416415962118735,12.882131375302087,-0.14564334060229317,-7.150286789861697e-14
0.3157379551346526,13.063108191245012,-0.14272692821967514,-6.976999144419042e-14
0.3473117506481178,13.242227820424679,-0.13993739544379932,-6.811324002061017e-14
0.3788855461615831,13.41931171249928,-0.13727025045918093,-6.652992577924165e-14
0.4104593416750484,13.594183346394045,-0.1347211231185008,-6.501742955741261e-14
0.4420331371885136,13.766668406261259,-0.13228577351509765,-6.357320607828069e-14
0.47360693270197884,13.936594955242096,-0.12996009862151994,-6.219478804871522e-14
0.5051807282154441,14.103793606857032,-0.12774013722390498,-6.08797892857506e-14
0.5367545237289094,14.26809769385396,-0.12562207336498663,-5.962590699177973e-14
0.5683283192423747,14.429343434345732,-0.12360223849158318,-5.843092328848959e-14
0.5999021147558399,14.587370095071508,-0.12167711248574711,-5.729270610972824e-14
0.6314759102693052,14.742020151619167,-0.1198433237425598,-5.6209209544117325e-14
0.6630497057827704,14.893139445449073,-0.11809764844200556,-5.5178473709362774e-14
0.6946235012962356,15.04057733756264,-0.1164370091475678,-5.4198624231899144e-14
0.7261972968097009,15.184186858662585,-0.1148584728502588,-5.3267871397761246e-14
0.7577710923231662,15.323824855655104,-0.11335924856377218,-5.2384509033412667e-14
0.7893448878366315,15.459352134347998,-0.11193668456436995,-5.1546913168670836e-14
0.8209186833500968,15.590633598202462,-0.11058826535799314,-5.075354052784026e-14
0.8524924788635619,15.717538383000262,-0.10931160844691458,-5.000292688968096e-14
0.8840662743770272,15.839939987292034,-0.10810446095899791,-4.9293685351865086e-14
0.9156400698904925,15.957716398496673,-0.10696469619427343,-4.862450453109377e-14
0.9472138654039577,16.07075021452612,-0.1058903101360294,-4.799414672601817e-14
0.978787660917423,16.178928760814358,-0.10487941796691092,-4.740144606650742e-14
1.0103614564308883,16.28214420263379,-0.10393025062455581,-4.684530666959745e-14
1.0419352519443534,16.380293652587337,-0.10304115142603257,-4.632470081960884e-14
1.0735090474578188,16.47327927316876,-0.10221057278571372,-4.58386671874041e-14
1.105082842971284,16.561008374289244,-0.1014370730471765,-4.538630910154347e-14
1.1366566384847494,16.64339350567289,-0.1007193134462055,-4.4966792882154745e-14
1.1682304339982146,16.720352544029048,-0.10005605521893846,-4.4579346246640904e-14
1.1998042295116798,16.791808774914607,-0.09944615686659229,-4.4223256794876816e-14
1.2313780250251452,16.857690969204622,-0.09888857158598591,-4.389787058027399e-14
1.2629518205386103,16.917933454095035,-0.09838234487320321,-4.3602590771998163e-14
1.2945256160520755,16.972476178566776,-0.0979266123061631,-4.333687641268646e-14
1.326099411565541,17.021264773245917,-0.0975205975105611,-4.310024127521511e-14
1.357673207079006,17.064250604600243,-0.09716361031257287,-4.289225282139325e-14
1.3892470025924712,17.101390823418217,-0.09685504508084392,-4.27125312648931e-14
1.4208207981059366,17.13264840752202,-0.09659437925959521,-4.2560748740252585e-14
1.4523945936194018,17.157992198672016,-0.0963811720941362,-4.2436628579395485e-14
1.4839683891328672,17.17739693362604,-0.09621506354966106,-4.233994469679107e-14
1.5155421846463324,17.190843269322276,-0.09609577342389775,-4.2270521084107826e-14
1.5471159801597976,17.19831780216087,-0.09602310065396304,-4.2228231415001645e-14
1.578689775673263,17.19981308136494,-0.09599692281762505,-4.2212998760496175e-14
1.6102635711867281,17.195327616407653,-0.09601719582908154,-4.2224795415265585e-14
1.6418373667001935,17.18486587849803,-0.09608395382930357,-4.226364283499894e-14
1.6734111622136587,17.16843829612394,-0.09619730927096079,-4.232961168491024e-14
1.7049849577271239,17.146061244656753,-0.09635745319791457,-4.242282199934421e-14
1.7365587532405893,17.117757030028013,-0.0965646557192369,-4.254344345231436e-14
1.7681325487540545,17.083553866494423,-0.09681926667765496,-4.2691695738680576e-14
1.7997063442675196,17.043485848513228,-0.09712171651223288,-4.286784906552791e-14
1.831280139780985,16.99759291675613,-0.09747251731496342,-4.3072224753133045e-14
1.8628539352944502,16.945920818295576,-0.09787226408072941,-4.330519594469178e-14
1.8944277308079154,16.888521061003058,-0.098321636149804,-4.35671884237233e-14
1.9260015263213808,16.82545086220495,-0.09882139884165914,-4.3858681537751105e-14
1.957575321834846,16.756773091647048,-0.099372405278327,-4.418020922647795e-14
1.9891491173483113,16.682556208824618,-0.09997559839488888,-4.453236115220983e-14
2.0207229128617765,16.602874194740508,-0.10063201313382093,-4.4915783929730847e-14
2.0522967083752417,16.51780647815925,-0.10134277881888268,-4.533118245217099e-14
2.083870503888707,16.427437856430757,-0.1021091217029586,-4.577932130862752e-14
2.1154442994021725,16.33185841096247,-0.10293236768272863,-4.626102628838377e-14
2.1470180949156377,16.231163417424263,-0.10381394517120482,-4.6777185965494365e-14
2.178591890429103,16.125453250775575,-0.10475538811700146,-4.7328753356257804e-14
2.210165685942568,16.014833285209466,-0.1057583391566508,-4.7916747640652506e-14
