Ec_AFMarray,Ev_AFMarray,Ef_AFMarray,Gatez1_AFMarray,GateE1_AFMarray,Gatez2_AFMarray,GateE2_AFMarray,Insulatorz1_AFMarray,InsulatorE1_AFMarray,Insulatorz2_AFMarray,InsulatorE2_AFMarray,Insulatorz3_AFMarray,InsulatorE3_AFMarray,Insulatorz4_AFMarray,InsulatorE4_AFMarray
1.1245192307692307,-0.37548076923076934,0.1489764070935947,-31.140600970294244,-1.4,-11.140600970294244,-1.4,0.0,-5.197097282284949,0.0,3.8029027177150514,-11.140600970294244,1.6999999999999997,-11.140600970294244,-7.300000000000001
1.1245192307692307,-0.37548076923076934,0.1489764070935947,-31.330032591980533,-1.4,-11.330032591980533,-1.4,0.0,-5.201370294784898,0.0,3.7986297052151023,-11.330032591980533,1.6999999999999997,-11.330032591980533,-7.300000000000001
1.1245192307692307,-0.37548076923076934,0.1489764070935947,-31.51933459435123,-1.4,-11.51933459435123,-1.4,0.0,-5.205473240250529,0.0,3.7945267597494707,-11.51933459435123,1.6999999999999997,-11.51933459435123,-7.300000000000001
1.1245192307692307,-0.37548076923076934,0.1489764070935947,-31.7083182770535,-1.4,-11.7083182770535,-1.4,0.0,-5.20941086734714,0.0,3.79058913265286,-11.7083182770535,1.6999999999999997,-11.7083182770535,-7.300000000000001
1.1245192307692307,-0.37548076923076934,0.1489764070935947,-31.896795257042474,-1.4,-11.896795257042474,-1.4,0.0,-5.213188012474214,0.0,3.7868119875257857,-11.896795257042474,1.6999999999999997,-11.896795257042474,-7.300000000000001
1.1245192307692307,-0.37548076923076934,0.1489764070935947,-32.08457765636557,-1.4,-12.084577656365566,-1.4,0.0,-5.216809561130626,0.0,3.783190438869374,-12.084577656365566,1.6999999999999997,-12.084577656365566,-7.300000000000001
1.1245192307692307,-0.37548076923076934,0.1489764070935947,-32.27147828944331,-1.4,-12.271478289443307,-1.4,0.0,-5.220280413851095,0.0,3.7797195861489046,-12.271478289443307,1.6999999999999997,-12.271478289443307,-7.300000000000001
1.1245192307692307,-0.37548076923076934,0.1489764070935947,-32.45731084966,-1.4,-12.457310849659995,-1.4,0.0,-5.2236054564004455,0.0,3.7763945435995545,-12.457310849659995,1.6999999999999997,-12.457310849659995,-7.300000000000001
1.1245192307692307,-0.37548076923076934,0.1489764070935947,-32.64189009507818,-1.4,-12.641890095078178,-1.4,0.0,-5.226789533908351,0.0,3.7732104660916486,-12.641890095078178,1.6999999999999997,-12.641890095078178,-7.300000000000001
1.1245192307692307,-0.37548076923076934,0.1489764070935947,-32.825032033091865,-1.4,-12.825032033091865,-1.4,0.0,-5.229837428628477,0.0,3.7701625713715234,-12.825032033091865,1.6999999999999997,-12.825032033091865,-7.300000000000001
1.1245192307692307,-0.37548076923076934,0.1489764070935947,-33.00655410383433,-1.4,-13.006554103834334,-1.4,0.0,-5.232753841011094,0.0,3.7672461589889057,-13.006554103834334,1.6999999999999997,-13.006554103834334,-7.300000000000001
1.1245192307692307,-0.37548076923076934,0.1489764070935947,-33.18627536215779,-1.4,-13.18627536215779,-1.4,0.0,-5.23554337378697,0.0,3.76445662621303,-13.18627536215779,1.6999999999999997,-13.18627536215779,-7.300000000000001
1.1245192307692307,-0.37548076923076934,0.1489764070935947,-33.36401665800342,-1.4,-13.364016658003422,-1.4,0.0,-5.238210518771588,0.0,3.761789481228412,-13.364016658003422,1.6999999999999997,-13.364016658003422,-7.300000000000001
1.1245192307692307,-0.37548076923076934,0.1489764070935947,-33.53960081498207,-1.4,-13.539600814982075,-1.4,0.0,-5.240759646112268,0.0,3.7592403538877317,-13.539600814982075,1.6999999999999997,-13.539600814982075,-7.300000000000001
1.1245192307692307,-0.37548076923076934,0.1489764070935947,-33.71285280698753,-1.4,-13.712852806987526,-1.4,0.0,-5.243194995715672,0.0,3.7568050042843284,-13.712852806987526,1.6999999999999997,-13.712852806987526,-7.300000000000001
1.1245192307692307,-0.37548076923076934,0.1489764070935947,-33.88359993266632,-1.4,-13.88359993266632,-1.4,0.0,-5.245520670609249,0.0,3.754479329390751,-13.88359993266632,1.6999999999999997,-13.88359993266632,-7.300000000000001
1.1245192307692307,-0.37548076923076934,0.1489764070935947,-34.05167198757024,-1.4,-14.051671987570238,-1.4,0.0,-5.247740632006865,0.0,3.752259367993135,-14.051671987570238,1.6999999999999997,-14.051671987570238,-7.300000000000001
1.1245192307692307,-0.37548076923076934,0.1489764070935947,-34.21690143381977,-1.4,-14.216901433819771,-1.4,0.0,-5.2498586958657825,0.0,3.7501413041342175,-14.216901433819771,1.6999999999999997,-14.216901433819771,-7.300000000000001
1.1245192307692307,-0.37548076923076934,0.1489764070935947,-34.37912356710955,-1.4,-14.379123567109552,-1.4,0.0,-5.251878530739186,0.0,3.7481214692608136,-14.379123567109552,1.6999999999999997,-14.379123567109552,-7.300000000000001
1.1245192307692307,-0.37548076923076934,0.1489764070935947,-34.538176680889165,-1.4,-14.538176680889162,-1.4,0.0,-5.253803656745022,0.0,3.7461963432549776,-14.538176680889162,1.6999999999999997,-14.538176680889162,-7.300000000000001
1.1245192307692307,-0.37548076923076934,0.1489764070935947,-34.69390222755575,-1.4,-14.693902227555753,-1.4,0.0,-5.25563744548821,0.0,3.74436255451179,-14.693902227555753,1.6999999999999997,-14.693902227555753,-7.300000000000001
1.1245192307692307,-0.37548076923076934,0.1489764070935947,-34.84614497649775,-1.4,-14.846144976497747,-1.4,0.0,-5.257383120788764,0.0,3.742616879211236,-14.846144976497747,1.6999999999999997,-14.846144976497747,-7.300000000000001
