zins_zinsarray,Vs_zinsarray,F_zinsarray
0.05,-0.7534218619530055,-1.850049358684214e-09
0.15000000000000002,-0.6992498262283093,-2.2792777210688e-10
0.25,-0.67396765197013,-8.595417862125117e-11
0.35,-0.6572496911806694,-4.519537157188504e-11
0.45,-0.6447052200602895,-2.7957233252985156e-11
0.55,-0.634634248747947,-1.9050002794842525e-11
0.65,-0.6261977540899412,-1.384181037093036e-11
0.75,-0.6189193667570744,-1.0528832070903986e-11
0.8500000000000001,-0.6125023811853586,-8.288396454604848e-12
0.9500000000000001,-0.6067493404078269,-6.701115239658448e-12
1.05,-0.6015221025538887,-5.534669093057896e-12
1.1500000000000001,-0.5967201556813464,-4.651789032628705e-12
1.25,-0.5922680062322883,-3.967070806264491e-12
1.35,-0.5881074340868595,-3.4250835794666822e-12
1.45,-0.5841925203501344,-2.988558003121649e-12
1.55,-0.5804863348961766,-2.6316747070624573e-12
1.6500000000000001,-0.5769586591944084,-2.3360811061197133e-12
1.75,-0.5735843777734494,-2.0884377935632883e-12
1.85,-0.5703423145694253,-1.8788577059152395e-12
1.95,-0.567214372966644,-1.6998848921117739e-12
2.05,-0.5641848877879819,-1.5458095631969134e-12
2.15,-0.5612401280524505,-1.412198456878245e-12
2.25,-0.5583679087296942,-1.2955664249540255e-12
2.3499999999999996,-0.5555572823533519,-1.193142668537254e-12
2.4499999999999997,-0.5527982897510307,-1.1027016530098337e-12
2.55,-0.5500817548318805,-1.0224390099717906e-12
2.65,-0.5473991122794781,-9.50879235962732e-13
2.75,-0.5447422597160877,-8.86806197821366e-13
2.8499999999999996,-0.5421034278113837,-8.292102186635562e-13
2.9499999999999997,-0.5394750631506614,-7.772473690061985e-13
3.05,-0.5368497196180254,-7.302078461942005e-13
3.15,-0.5342199546998633,-6.874911938997354e-13
3.2499999999999996,-0.5315782275501979,-6.485867210631762e-13
3.3499999999999996,-0.5289167959385136,-6.130579100291142e-13
3.4499999999999997,-0.5262276093673858,-5.805299120649842e-13
3.55,-0.5235021957438006,-5.50679451902728e-13
3.65,-0.5207315390624802,-5.232266264703568e-13
3.75,-0.5179059456769132,-4.979282037641181e-13
3.8499999999999996,-0.5150148969938012,-4.745721177784604e-13
3.9499999999999997,-0.5120468869795324,-4.529729228499144e-13
4.05,-0.5089892439719972,-4.329680216455721e-13
4.1499999999999995,-0.5058279383238269,-4.144145193227287e-13
4.249999999999999,-0.5025473809889498,-3.971865851305938e-13
4.35,-0.4991302242100771,-3.811732237980872e-13
4.45,-0.49555718528535325,-3.6627637378411953e-13
4.55,-0.49180692970562045,-3.524092586667863e-13
4.6499999999999995,-0.48785607265485287,-3.394949222230652e-13
4.75,-0.483679389187105,-3.274648779549617e-13
4.849999999999999,-0.4792503618157397,-3.162578019009916e-13
4.95,-0.4745422313615166,-3.058181979843345e-13
5.049999999999999,-0.4695297309915657,-2.96094976612282e-13
5.1499999999999995,-0.46419163350728865,-2.8703992350936784e-13
5.249999999999999,-0.458514072262532,-2.7860611176451404e-13
