Vg_biasarray,Vs_biasarray,F_biasarray,df_biasarray,dg_biasarray
-1.75,0.10431492380465295,-3.954770362440968e-12,-4.634578055254326,1.7478511076212686
-1.7,0.11128456968051065,-5.277438060475066e-12,-4.964861263793324,2.333943742955119
-1.65,0.11754706891356405,-6.817039764396205e-12,-5.3495766326729175,3.0161008654271573
-1.6,0.12322193142616486,-8.578099098803996e-12,-5.789873613785227,3.796118344883878
-1.55,0.1284025587771261,-1.0564299591313769e-11,-6.286687254244411,4.67537084106734
-1.5,0.13316289855907426,-1.2778685477751338e-11,-6.840789499302042,5.654902522585472
-1.45,0.13756223550342983,-1.5223806511552815e-11,-7.452826226370304,6.7354925989654335
-1.4,0.14164866583532443,-1.7901824029833765e-11,-8.123344378380834,7.917703398611577
-1.35,0.14546164242485551,-2.0814589874461917e-11,-8.852812148158744,9.20191621612053
-1.3,0.1490338606754306,-2.3963706017407897e-11,-9.64163421868368,10.588358475716014
-1.25,0.1523926725217329,-2.7350570262968482e-11,-10.490163434869615,12.077124643154443
-1.2,0.15556115909413365,-3.0976411753870556e-11,-11.398709862603315,13.668192574710918
-1.15,0.15855895371405002,-3.484231890380924e-11,-12.367547908060024,15.361436491731803
-1.1,0.16140288019634322,-3.8949261628005465e-11,-13.396921977742432,17.156637428323478
-1.05,0.16410745300179996,-4.329810922617864e-11,-14.487051026848482,19.053491764448385
-1.0,0.16668527294040875,-4.7889644911302086e-11,-15.638132250777947,21.05161829287597
-0.9500000000000002,0.16914734309055016,-5.2724577721365063e-11,-16.850344108825837,23.150564151992764
-0.8999999999999999,0.17150332317736985,-5.7803552368684156e-11,-18.123848822056047,25.34980987344873
-0.8500000000000001,0.17376173604086512,-6.312715744774891e-11,-19.458794453137156,27.648773733265738
-0.7999999999999998,0.17593013647773997,-6.869593232508371e-11,-20.855316650834713,30.046815549199767
-0.75,0.17801525028852835,-7.451037296198315e-11,-22.313540123233558,32.54324003807513
-0.7000000000000002,0.18002308954674814,-8.05709368663188e-11,-23.833579889793363,35.13729981644986
-0.6499999999999999,0.18195904875179017,-8.687804732865473e-11,-25.415542351754272,37.828198115745934
-0.6000000000000001,0.18382798550602594,-9.343209706582664e-11,-27.059526212325007,40.615091261942965
-0.5499999999999998,0.18563428858093448,-1.0023345137109537e-10,-28.76562327183718,43.49709096610761
-0.5,0.18738193564271444,-1.0728245085078558e-10,-30.53391911820174,46.47326645562869
-0.4500000000000002,0.18907454244916774,-1.1457941381246227e-10,-32.36449372918443,49.54264647811487
-0.3999999999999999,0.19071540497296954,-1.2212463835787224e-10,-34.25742200002749,52.70422119442848
-0.3500000000000001,0.19230753562718403,-1.2991840422451066e-10,-36.212774207533315,55.95694398432525
-0.2999999999999998,0.19385369454882198,-1.3796097441240965e-10,-38.23061641981981,59.29973317479879
-0.25,0.1953564167213486,-1.46252596625125e-10,-40.31101085941337,62.73147370379321
-0.20000000000000018,0.19681803557847385,-1.5479350455281656e-10,-42.45401622608725,66.25101873088224
-0.1499999999999999,0.1982407036186714,-1.6358391901581653e-10,-44.659687984840076,69.85719119980234
-0.10000000000000009,0.19962641047057558,-1.7262404898856495e-10,-46.92807862353378,73.54878535974794
-0.04999999999999982,0.200976998775701,-1.8191409251852065e-10,-49.25923788412359,77.32456825302451
0.0,0.2022941781953984,-1.9145423755315967e-10,-51.65321297069609,81.18328116699897
0.04999999999999982,0.20357953780004948,-2.0124466268620015e-10,-54.11004873714809,85.12364106314301
0.10000000000000009,0.20483455705826553,-2.1128553783261586e-10,-56.629787856945796,89.14434197400261
0.1499999999999999,0.20606061561061637,-2.2157702484085118e-10,-59.21247097701735,93.24405638160488
0.20000000000000018,0.20725900198466418,-2.3211927804829875e-10,-61.85813685759152,97.42143656811093
0.25,0.2084309213855312,-2.4291244478910847e-10,-64.5668224995494,101.67511595062216
0.2999999999999998,0.20957750267615163,-2.5395666585554717e-10,-67.33856326061044,106.00371039169666
0.3500000000000001,0.2106998046460912,-2.652520759210363e-10,-70.1733929615938,110.40581948949952
0.3999999999999999,0.21179882165360608,-2.767988039274703e-10,-73.07134398376118,114.88002785132639
0.4500000000000002,0.21287548871430978,-2.8859697344071557e-10,-76.032447358129,119.42490634673513
0.5,0.21393068610000696,-3.006467029774827e-10,-79.05673284762464,124.03901333846547
0.5499999999999998,0.21496524350293372,-3.1294810630636973e-10,-82.1442290227027,128.72089589556066
0.6000000000000001,0.21597994381354246,-3.255012927255814e-10,-85.29496333113617,133.46909098930743
0.6499999999999999,0.2169755265538856,-3.3830636731951523e-10,-88.50896216245785,138.28212666552116
0.7000000000000002,0.2179526910034323,-3.513634311961952e-10,-91.7862509076221,143.15852319651825
0.75,0.21891209904965253,-3.6467258170727324e-10,-95.1268540142553,148.0967942132524
0.7999999999999998,0.21985437779182376,-3.7823391265219446e-10,-98.53079503794866,153.09544781858799
0.8500000000000001,0.22078012192315144,-3.9204751446789544e-10,-101.99809668990056,158.15298767368256
0.8999999999999999,0.2216898959133806,-4.0611347440529553e-10,-105.52878088124326,163.26791406859556
0.9500000000000002,0.22258423601153957,-4.2043187669371847e-10,-109.12286876433969,168.4387249617525
1.0,0.22346365208624328,-4.350028026942326e-10,-112.7803807713009,173.66391700696656
1.0499999999999998,0.22432862931905476,-4.4982633104284513e-10,-116.50133664994266,178.94198654890593
1.0999999999999996,0.22517962976468284,-4.6490253778390054e-10,-120.28575549740397,184.2714305976853
1.1500000000000004,0.22601709379050694,-4.802314964974816e-10,-124.13365579159994,189.6507477812537
1.2000000000000002,0.22684144140596657,-4.958132784129504e-10,-128.04505542070132,195.07843926684296
1.25,0.22765307349240588,-5.11647952522203e-10,-132.01997171077514,200.55300966653274
1.2999999999999998,0.22845237294158585,-5.277355856818821e-10,-136.05842145172363,206.0729679103574
1.3499999999999996,0.22923970571112362,-5.440762427104911e-10,-140.1604209216672,211.63682809671502
1.4000000000000004,0.2300154218039475,-5.606699864797209e-10,-144.3259859098695,217.24311031897875
1.4500000000000002,0.23077985617821772,-5.775168780004168e-10,-148.55513173832426,222.8903414596706
1.5,0.23153332959353073,-5.946169765034777e-10,-152.84787328209413,228.57705596794858
1.5499999999999998,0.23227614939869629,-6.11970339516682e-10,-157.2042249884858,234.30179660330234
